"Reporting starts","Reporting ends","Ad name","Ad delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Impressions,Reach,Frequency,"Unique link clicks","Website purchases",Ends,"Attribution setting",Bid,"Bid type","Last significant edit","Quality ranking","Engagement rate ranking","Conversion rate ranking","Ad set name"
2026-04-10,2026-05-10,"NEW Reel 2026 Columbia, MO",not_delivering,2425,actions:link_click,0.33697732,25,Daily,817.17,115730,48694,2.376679,2180,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:20:10-0700,Average,"Above average","Above average","NEW Reel 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 12",not_delivering,354,actions:link_click,0.35997175,15,Daily,127.43,14723,9561,1.539902,346,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,Average,"Above average","Above average","Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 19",not_delivering,5233,actions:link_click,0.2249914,85,Daily,1177.38,137345,60631,2.26526,4256,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,Average,"Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 1",not_delivering,129,actions:link_click,0.28271318,85,Daily,36.47,4821,3331,1.447313,116,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,"Below average - Bottom 35% of ads","Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 5",not_delivering,945,actions:link_click,0.2897672,85,Daily,273.83,31829,18237,1.745298,825,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,Average,"Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 10",not_delivering,1153,actions:link_click,0.29942758,85,Daily,345.24,44420,26342,1.68628,1063,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,Average,"Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 5",not_delivering,95,actions:link_click,0.34894737,15,Daily,33.15,3897,2328,1.673969,84,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,-,-,-,"Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - Ads 9",not_delivering,1223,actions:link_click,0.30171709,15,Daily,369,52228,21811,2.394572,1103,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,Average,"Above average","Above average","Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 11",not_delivering,67,actions:link_click,0.36208955,15,Daily,24.26,3552,2111,1.682615,63,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,-,-,-,"Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 1",not_delivering,3,actions:link_click,0.37666667,15,Daily,1.13,430,331,1.299094,3,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,-,-,-,"Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 10",not_delivering,74,actions:link_click,0.2827027,15,Daily,20.92,2245,1591,1.411062,69,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:18:40-0700,-,-,-,"Traffic Spanish 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 12",not_delivering,1409,actions:link_click,0.22938964,85,Daily,323.21,36436,22082,1.650032,1307,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,"Below average - Bottom 35% of ads","Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"Test - ADS 11",not_delivering,301,actions:link_click,0.30568106,85,Daily,92.01,12802,8972,1.426884,273,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-04-24T01:17:43-0700,"Below average - Bottom 35% of ads","Above average","Above average","Traffic English 2026 Columbia, MO"
2026-04-10,2026-05-10,"NEW Reel 2026 Columbia, MO",not_delivering,525,actions:link_click,0.37899048,25,Daily,198.97,33261,17799,1.8687,465,,2026-05-10,"7-day click or 1-day view",0,ABSOLUTE_OCPM,2026-05-01T09:12:48-0700,Average,"Above average",Average,"NEW Reel 2026 Columbia, MO"
